track_id,lat,lon,timestamp,type,notes
ALPHA-01,38.8977,-77.0365,2025-03-01T08:00:00Z,Vehicle,Departed Washington DC
ALPHA-01,39.2904,-76.6122,2025-03-01T09:15:00Z,Vehicle,Passing Baltimore
ALPHA-01,39.9526,-75.1652,2025-03-01T10:45:00Z,Vehicle,Arrived Philadelphia
ALPHA-01,40.7128,-74.0060,2025-03-01T12:45:00Z,Vehicle,Arrived NYC
BRAVO-02,42.3601,-71.0589,2025-03-01T07:00:00Z,Aircraft,Departed Boston
BRAVO-02,41.3083,-72.9279,2025-03-01T08:55:00Z,Aircraft,New Haven CT
BRAVO-02,40.7128,-74.0060,2025-03-02T10:30:00Z,Aircraft,Arrived NYC
CHARLIE-03,39.7392,-104.9903,2025-03-01T06:00:00Z,Vehicle,Departed Denver
CHARLIE-03,39.5501,-107.3248,2025-03-01T09:15:00Z,Vehicle,Glenwood Springs
CHARLIE-03,38.5733,-109.5498,2025-03-01T12:00:00Z,Vehicle,Moab UT
